"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809973","Monograph","Language material ; Text","Online resource (ebook)","GBB656007","9781781100264","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865668 ; Previously issued in print: London: Bloomsbury, 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809974","Monograph","Language material ; Text","Online resource (ebook)","GBB656008","9781781105672","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865637 ; Previously issued in print: London: Bloomsbury, 2000"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017863575","Monograph","Language material ; Text","Online resource (ebook)","GBB673826","9781781106464","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter : the complete collection","Harry Potter and the Deathly Hallows ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Novels. Selections","","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017869774","Monograph","Language material ; Text","Volume","GBB675708","9781408869130","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2016","","461 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 1999"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017954157","Monograph","Language material ; Still image ; Text","Volume","GBB6A4269","9781408876831","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2016","","258 pages, colour illustrations, 33 cm + 1 folded sheet","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 1998"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018000018","Monograph","Language material ; Text","Volume","GBB6C3572","9781408869147","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","The Harry Potter series","4 [The Harry Potter series]","England","London","Bloomsbury","2016","","616 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip-case ; Originally published: 2000"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Zheng, Xumi, wen xue [person] ; Su, Nong, translator [person] ; Ma, Aixin, translator [person] ; 马爱新 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Rowling, J. K. [person] ; 苏农 [person] ; Luolin (Rowling, Joanne Kathleen), 1965- [person] ; 郑须弥, 文学 [person]","Ha li . bo te","Feng huang hui de mi ling ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018247765","Monograph","Language material ; Text","Volume","GBB732760","9781408869154","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2017","","799 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 2003"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018247766","Monograph","Language material ; Text","Volume","GBB732761","9781408869161","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2017","","541 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 2005"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018286055","Monograph","Language material ; Still image ; Text","Volume","GBB760710","9781408883730 ; 9781408883747","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Gryffindor edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018286056","Monograph","Language material ; Still image ; Text","Volume","GBB760711","9781408883754 ; 9781408883761","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Slytherin edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018286057","Monograph","Language material ; Still image ; Text","Volume","GBB760712","9781408883778 ; 9781408883785","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Ravenclaw edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018286058","Monograph","Language material ; Still image ; Text","Volume","GBB760713","9781408883792 ; 9781408883808","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th anniversary edition ; Hufflepuff edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter","Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de Orde van de Feniks ; Harry Potter en de geheime kamer ; Harry Potter en de relieken van de dood ; Novels. Selections. Dutch","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018330855","Monograph","Cartographic image ; Language material ; Text","Volume","GBB775829","9781408869178","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","The Harry Potter series","7 [The Harry Potter series]","England","London","Bloomsbury","2017","","1 volume, map (black and white), 22 cm","823.92","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018414446","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","ʿAbd Allāh, Rajāʾ, translator [person] ; Rowling, J. K., author [person] ; محمود، سحر جبر،, editor [person] ; Ibrāhīm, Dāliyā Muḥammad, editor [person] ; ابراهيم، دالا محمد،, editor [person] ; عبد الله، رجاء،, translator [person] ; Maḥmūd, Saḥar Jabr, editor [person]","Hārī Būtir wa-ḥajar al-faylasūf","Harry Potter and the philosopher's stone. Arabic ; هاري بوتر و حجر الفيلسوف","Silsilat Hārī Būtir ; سلسلة هاري بوتر ؛","1 [Silsilat Hārī Būtir] ; 1 [سلسلة هاري بوتر ؛]","Egypt","al-Jīzah ; الجيزة","Dār Nahḍat Miṣr lil-Nashr ; دار نهضة مصر للنشر،","2016","","263 pages, 20 cm","","","Children's fiction ; Fantasy","Arabic","'HP.'"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","018459680","Monograph","Language material ; Still image ; Text","Volume","GBB7D6701","9781408884768","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the prisoner of Azkaban","","The Harry Potter series","3 [The Harry Potter series]","England","London","Bloomsbury","2017","Deluxe illustrated slipcase edition, illustrated by Jim Kay","1 volume, colour illustrations, 33 cm","823.92","","Children's fiction ; Fantasy","English","In slip case"
